회사명,거래소코드,회계년도,이자보상배율(이자비용)
(주)CMG제약,058820,2009/12,-8.29
(주)CMG제약,058820,2010/12,-7.33
(주)DB하이텍,000990,2009/12,-0.76
(주)DB하이텍,000990,2010/12,-2.8
(주)ES큐브,050120,2009/12,10.3
(주)ES큐브,050120,2010/12,9.56
(주)HJ중공업,097230,2009/12,2.57
(주)HJ중공업,097230,2010/12,1.05
(주)KB금융지주,105560,2009/12,
(주)KB금융지주,105560,2010/12,
(주)MH에탄올,023150,2009/12,2.14
(주)MH에탄올,023150,2010/12,1.84
(주)SH에너지화학,002360,2009/12,4.5
(주)SH에너지화학,002360,2010/12,2.66
(주)SIMPAC,009160,2009/12,10.35
(주)SIMPAC,009160,2010/12,14.87
(주)SNT에너지,100840,2009/12,22.76
(주)SNT에너지,100840,2010/12,41.47
(주)SNT홀딩스,036530,2009/12,999999999
(주)SNT홀딩스,036530,2010/12,999999999
(주)STX,011810,2009/12,-1.18
(주)STX,011810,2010/12,0.9
(주)TCC스틸,002710,2009/12,3.98
(주)TCC스틸,002710,2010/12,3.66
(주)가비아,079940,2009/12,4.97
(주)가비아,079940,2010/12,9.81
(주)강원랜드,035250,2009/12,32608.62
(주)강원랜드,035250,2010/12,999999999
(주)강원에너지,114190,2009/11,514.44
(주)강원에너지,114190,2010/11,438.92
(주)갤럭시아에스엠,011420,2009/12,1.94
(주)갤럭시아에스엠,011420,2010/12,4.45
(주)경농,002100,2009/12,7.04
(주)경농,002100,2010/12,6.99
(주)경동나비엔,009450,2009/12,225.66
(주)경동나비엔,009450,2010/12,199.74
(주)경동인베스트,012320,2009/12,37.83
(주)경동인베스트,012320,2010/12,61.78
(주)경방,000050,2009/12,-1.07
(주)경방,000050,2010/12,1.93
(주)경보제약,214390,2009/12,3.82
(주)경보제약,214390,2010/12,5.93
(주)경인양행,012610,2009/12,3.78
(주)경인양행,012610,2010/12,0.34
(주)고영테크놀러지,098460,2009/12,27.74
(주)고영테크놀러지,098460,2010/12,53.86
(주)골드앤에스,035290,2009/12,1.93
(주)골드앤에스,035290,2010/12,0.29
(주)골드퍼시픽,038530,2009/12,999999999
(주)골드퍼시픽,038530,2010/12,999999999
(주)골프존뉴딘홀딩스,121440,2009/12,240203.16
(주)골프존뉴딘홀딩스,121440,2010/12,999999999
(주)광림,014200,2009/12,0.36
(주)광림,014200,2010/12,1.91
(주)광명전기,017040,2009/12,1.58
(주)광명전기,017040,2010/12,2.06
(주)광무,029480,2009/12,3.31
(주)광무,029480,2010/12,1.12
(주)광주신세계,037710,2009/12,999999999
(주)광주신세계,037710,2010/12,999999999
(주)구영테크,053270,2009/12,1.41
(주)구영테크,053270,2010/12,1.97
(주)국동,005320,2009/12,1.58
(주)국동,005320,2010/12,2.42
(주)국보,001140,2009/12,1.1
(주)국보,001140,2010/12,1.18
(주)국보디자인,066620,2009/12,287.78
(주)국보디자인,066620,2010/12,430.16
(주)국순당,043650,2009/12,999999999
(주)국순당,043650,2010/12,999999999
(주)국영지앤엠,006050,2009/12,-1.26
(주)국영지앤엠,006050,2010/12,25.24
(주)그래디언트,035080,2009/12,-17.18
(주)그래디언트,035080,2010/12,999999999
(주)그리티,204020,2009/12,4.94
(주)그리티,204020,2010/12,9.55
(주)그린플러스,186230,2009/12,1.81
(주)그린플러스,186230,2010/12,2.46
(주)글로벌스탠다드테크놀로지,083450,2009/12,12.58
(주)글로벌스탠다드테크놀로지,083450,2010/12,278.91
(주)금비,008870,2009/09,43.28
(주)금비,008870,2010/09,7.46
(주)금양,001570,2009/12,1.01
(주)금양,001570,2010/12,1.57
(주)금호에이치티,214330,2009/12,12.35
(주)금호에이치티,214330,2010/12,36.62
(주)금화피에스시,036190,2009/12,866.9
(주)금화피에스시,036190,2010/12,1134.22
(주)기가레인,049080,2009/12,-2.88
(주)기가레인,049080,2010/12,-2.15
(주)기산텔레콤,035460,2009/12,-1.24
(주)기산텔레콤,035460,2010/12,3.37
(주)까뮤이앤씨,013700,2009/12,1.66
(주)까뮤이앤씨,013700,2010/12,2.27
(주)나노신소재,121600,2009/12,8.95
(주)나노신소재,121600,2010/12,12.27
(주)나노엔텍,039860,2009/12,6.4
(주)나노엔텍,039860,2010/12,-7.78
(주)나래나노텍,137080,2009/12,30.4
(주)나래나노텍,137080,2010/12,63.03
(주)나무가,190510,2009/12,
(주)나무가,190510,2010/12,1.42
(주)나스미디어,089600,2009/12,62.34
(주)나스미디어,089600,2010/12,54.26
(주)나이벡,138610,2009/12,1.15
(주)나이벡,138610,2010/12,1.15
(주)나이스디앤비,130580,2009/12,999999999
(주)나이스디앤비,130580,2010/12,999999999
(주)나이스홀딩스,034310,2009/12,5.77
(주)나이스홀딩스,034310,2010/12,-1.94
(주)남선알미늄,008350,2009/12,1.47
(주)남선알미늄,008350,2010/12,1.11
(주)남성,004270,2009/12,1.06
(주)남성,004270,2010/12,1.16
(주)네오리진,094860,2009/12,1.24
(주)네오리진,094860,2010/12,2.71
(주)네오오토,212560,2010/12,
(주)네오위즈,095660,2009/12,999999999
(주)네오위즈,095660,2010/12,1845.8
(주)네오위즈홀딩스,042420,2009/12,4.28
(주)네오위즈홀딩스,042420,2010/12,3.8
(주)네오티스,085910,2009/12,22.82
(주)네오티스,085910,2010/12,21.07
(주)네오팜,092730,2009/12,96.08
(주)네오팜,092730,2010/12,7.17
(주)네이블커뮤니케이션즈,153460,2009/12,
(주)네이블커뮤니케이션즈,153460,2010/12,24.09
(주)네이처셀,007390,2009/12,2.31
(주)네이처셀,007390,2010/12,1.06
(주)네패스,033640,2009/12,8.25
(주)네패스,033640,2010/12,4.61
(주)넥센,005720,2009/12,5.04
(주)넥센,005720,2010/12,2.97
(주)넥스턴바이오사이언스,089140,2009/12,999999999
(주)넥스턴바이오사이언스,089140,2010/12,999999999
(주)넥스트아이,137940,2010/12,999999999
(주)노루페인트,090350,2009/12,1.25
(주)노루페인트,090350,2010/12,1.44
(주)노루홀딩스,000320,2009/12,2.81
(주)노루홀딩스,000320,2010/12,2.92
(주)노바렉스,194700,2009/12,
(주)노바렉스,194700,2010/12,-0.66
(주)노블엠앤비,106520,2009/12,0.79
(주)노블엠앤비,106520,2010/12,4.94
(주)녹십자,006280,2009/12,12.49
(주)녹십자,006280,2010/12,27.11
(주)녹십자엠에스,142280,2009/12,22.2
(주)녹십자엠에스,142280,2010/12,74.68
(주)녹십자홀딩스,005250,2009/12,16.56
(주)녹십자홀딩스,005250,2010/12,16.26
(주)녹원씨엔아이,065560,2009/12,2.18
(주)녹원씨엔아이,065560,2010/12,0.2
(주)농심,004370,2009/12,23.33
(주)농심,004370,2010/12,41.21
(주)농심홀딩스,072710,2009/12,15.67
(주)농심홀딩스,072710,2010/12,14.32
(주)누리플랜,069140,2009/12,6.66
(주)누리플랜,069140,2010/12,8.1
(주)누리플렉스,040160,2009/12,5.48
(주)누리플렉스,040160,2010/12,0.84
(주)뉴보텍,060260,2009/12,0.22
(주)뉴보텍,060260,2010/12,-4.47
(주)뉴인텍,012340,2009/12,0.83
(주)뉴인텍,012340,2010/12,2.39
(주)뉴파워프라즈마,144960,2009/12,20.17
(주)뉴파워프라즈마,144960,2010/12,34.49
(주)뉴프렉스,085670,2009/12,0.6
(주)뉴프렉스,085670,2010/12,1.31
(주)다날,064260,2009/12,49.76
(주)다날,064260,2010/12,5.19
(주)다산네트웍스,039560,2009/12,4
(주)다산네트웍스,039560,2010/12,10.57
(주)다우기술,023590,2009/12,116.97
