,거래소코드,회계년도,시가총액
0,005930,2011,155842698546000
1,005380,2011,46918890027000
2,005490,2011,33130997300000
3,012330,2011,28424407996000
4,000270,2011,26934445359100
5,051910,2011,21041074250000
6,009540,2011,19532000000000
7,055550,2011,18849433583250
8,015760,2011,16402182167350
9,032830,2011,16180000000000
10,005935,2011,15229895809000
11,105560,2011,14024566455900
12,096770,2011,13130110088000
13,000660,2011,12998166224900
14,017670,2011,11425518106500
15,010950,2011,11258279200000
16,033780,2011,11175609255800
17,066570,2011,10761797361600
18,000830,2011,10638429728400
19,003550,2011,10595007843400
20,035420,2011,10154945544000
21,000810,2011,9996090607000
22,023530,2011,9860225473000
23,011170,2011,9494280000000
24,030200,2011,9308635955200
25,034220,2011,8766484650000
26,086790,2011,8640419074650
27,004020,2011,8164595257500
28,028050,2011,8060000000000
29,000720,2011,7839445856000
30,139480,2011,7777353501000
31,051900,2011,7613871037500
32,053000,2011,7600724656200
33,086280,2011,7200000000000
34,034020,2011,6890409701700
35,000240,2011,6886594287250
36,024110,2011,6825017875000
37,036570,2011,6718147762500
38,010140,2011,6441423269400
39,088350,2011,6427122000000
40,090430,2011,6149833148000
41,006400,2011,6082038523500
42,034730,2011,5850000000000
43,035250,2011,5819181600000
44,009150,2011,5803700179200
45,010130,2011,5736480000000
46,003600,2011,5682379252000
47,001300,2011,5296202751000
48,010060,2011,5234936934500
49,011780,2011,5103338242500
50,029780,2011,4783100859900
51,004940,2011,4740065171100
52,078930,2011,4710809664600
53,006360,2011,4697100000000
54,042660,2011,4650795419400
55,047040,2011,4364037699000
56,068270,2011,4229780943300
57,001800,2011,4044178470000
58,047810,2011,3855140481850
59,069960,2011,3814597883000
60,032640,2011,3809474379000
61,097950,2011,3786340681500
62,005830,2011,3780720000000
63,016360,2011,3775897151000
64,060980,2011,3752090798000
65,011210,2011,3666541957500
66,011200,2011,3596158047900
67,000150,2011,3587757173000
68,052690,2011,3539172000000
69,009830,2011,3450974370600
70,006800,2011,3397689266400
71,036460,2011,3222764067000
72,003490,2011,3130765948500
73,000210,2011,3125040000000
74,001450,2011,3084300000000
75,042670,2011,3008722529400
76,002380,2011,3003460000000
77,047050,2011,2987084594250
78,012450,2011,2826516000000
79,021240,2011,2822767533600
80,010520,2011,2819030000000
81,005387,2011,2523890341500
82,001740,2011,2506695234700
83,000880,2011,2484882065250
84,006260,2011,2447200000000
85,004990,2011,2426329800000
86,004170,2011,2412069345000
87,018880,2011,2327368000000
88,010620,2011,2240000000000
89,001040,2011,2232388851000
90,012750,2011,2200152406200
91,030000,2011,2180031213750
92,138930,2011,2136847883950
93,005940,2011,2112090947800
94,115390,2011,2109250000000
95,000670,2011,2046506440000
96,002790,2011,2034669990000
97,071050,2011,2025639809200
98,010120,2011,1995000000000
99,071840,2011,1909863900800
100,004800,2011,1882295588000
101,051600,2011,1854000000000
102,001120,2011,1827534000000
103,005300,2011,1812502395000
104,007070,2011,1782550000000
105,002350,2011,1756024810000
106,000080,2011,1747364507100
107,003690,2011,1738629135000
108,139130,2011,1729285686600
109,000120,2011,1710925800000
110,088980,2011,1657296705000
111,001430,2011,1649657474000
112,035720,2011,1614224280000
113,035760,2011,1600442370000
114,057050,2011,1596000000000
115,005385,2011,1594483857000
116,120110,2011,1584603775500
117,005440,2011,1577927384300
118,004000,2011,1573800000000
119,082640,2011,1570556894000
120,008770,2011,1511052658500
121,006280,2011,1479124394000
122,003450,2011,1465400000000
123,000100,2011,1421949615000
124,117930,2011,1418750000000
125,004370,2011,1414214265000
126,017800,2011,1400592946500
127,053800,2011,1391925845000
128,064420,2011,1391479615300
129,003240,2011,1380616000000
130,011790,2011,1379793900300
131,002550,2011,1374000000000
132,011070,2011,1366783115400
133,006120,2011,1336039312700
134,037620,2011,1321699824950
135,053210,2011,1306065223600
136,078160,2011,1271997078000
137,001230,2011,1267397945000
138,012630,2011,1266454224000
139,028670,2011,1251615703680
140,046890,2011,1224413400000
141,039490,2011,1208855778000
142,022100,2011,1201794573330
143,093050,2011,1181296000000
144,020560,2011,1180972605600
145,130960,2011,1149265789200
146,000060,2011,1141060000000
147,111770,2011,1132518237000
148,114090,2011,1125773194000
149,073240,2011,1105524336800
150,056190,2011,1095217180000
151,003670,2011,1083934500000
152,004010,2011,1042373152000
153,033630,2011,1024018441020
154,000640,2011,988788000000
155,060310,2011,980434940300
156,096530,2011,977830480000
157,095660,2011,946728345600
158,026960,2011,923800000000
159,097230,2011,895751025750
160,067250,2011,891856156800
161,036490,2011,838540003500
162,006380,2011,838000000000
163,082270,2011,829821902700
164,051915,2011,820109007500
165,082740,2011,816625000000
166,069260,2011,815527830600
167,031430,2011,813960000000
168,002990,2011,807882356250
169,108670,2011,779290523000
170,034230,2011,763918444800
171,028150,2011,761250000000
172,041510,2011,757296528000
173,077360,2011,746566198000
174,081660,2011,736212472800
175,103140,2011,734236083600
176,020000,2011,731511000000
177,071320,2011,723671500000
178,009970,2011,720878917400
179,005850,2011,706087126500
180,072870,2011,697473370000
181,005250,2011,696017508000
182,030530,2011,695684220140
183,015750,2011,692500000000
184,011810,2011,692323146900
185,034120,2011,680821308600
186,093370,2011,675198665880
187,085660,2011,672184401000
188,020150,2011,666400000000
189,018670,2011,640246943000
190,006730,2011,636342446000
191,112040,2011,631680000000
192,003620,2011,620785770690
