,날짜,시가총액,거래소코드,회사명_x,month,순매수거래량,순매수거래량_최종,순매수거래대금 비중_외국인
0,2014-10,375379785000,068400,SK렌터카,10,-18162.0,541608.0,0.003376725418166811
1,2014-11,379809045000,068400,SK렌터카,11,284647.0,541608.0,0.003376725418166811
2,2014-12,360984690000,068400,SK렌터카,12,250266.0,541608.0,0.003376725418166811
3,2015-01,366521265000,068400,SK렌터카,01,362648.0,541608.0,0.003376725418166811
4,2015-02,372057840000,068400,SK렌터카,02,16449.0,541608.0,0.003376725418166811
5,2015-03,336623760000,068400,SK렌터카,03,-354240.0,541608.0,0.003376725418166811
6,2014-10,943226343200,006840,AK홀딩스,10,423143.0,413767.0,8.54789651725248e-05
7,2014-11,1006814636000,006840,AK홀딩스,11,100288.0,413767.0,8.54789651725248e-05
8,2014-12,1062454392200,006840,AK홀딩스,12,137157.0,413767.0,8.54789651725248e-05
9,2015-01,1344627441500,006840,AK홀딩스,01,-13046.0,413767.0,8.54789651725248e-05
10,2015-02,1338003661000,006840,AK홀딩스,02,-131098.0,413767.0,8.54789651725248e-05
11,2015-03,1300910490200,006840,AK홀딩스,03,-102677.0,413767.0,8.54789651725248e-05
12,2014-10,3902425318350,138930,BNK금융지주,10,757781.0,431694.0,0.00013843512998587377
13,2014-11,3679764414300,138930,BNK금융지주,11,-120052.0,431694.0,0.00013843512998587377
14,2014-12,3398508535500,138930,BNK금융지주,12,287915.0,431694.0,0.00013843512998587377
15,2015-01,3246161601150,138930,BNK금융지주,01,-1233750.0,431694.0,0.00013843512998587377
16,2015-02,3492260495100,138930,BNK금융지주,02,2009315.0,431694.0,0.00013843512998587377
17,2015-03,3562574464800,138930,BNK금융지주,03,-1269515.0,431694.0,0.00013843512998587377
18,2014-10,177078352500,001460,BYC,10,1031.0,13539.0,0.003961320031169369
19,2014-11,171456817500,001460,BYC,11,674.0,13539.0,0.003961320031169369
20,2014-12,163336822500,001460,BYC,12,385.0,13539.0,0.003961320031169369
21,2015-01,163649130000,001460,BYC,01,3830.0,13539.0,0.003961320031169369
22,2015-02,190195267500,001460,BYC,02,1785.0,13539.0,0.003961320031169369
23,2015-03,190195267500,001460,BYC,03,5834.0,13539.0,0.003961320031169369
24,2014-10,42430845000,001465,BYC우,10,38.0,55.0,5.3212075269968716e-05
25,2014-11,39523147500,001465,BYC우,11,-103.0,55.0,5.3212075269968716e-05
26,2014-12,37584682500,001465,BYC우,12,42.0,55.0,5.3212075269968716e-05
27,2015-01,36400065000,001465,BYC우,01,40.0,55.0,5.3212075269968716e-05
28,2015-02,40169302500,001465,BYC우,02,6.0,55.0,5.3212075269968716e-05
29,2015-03,36615450000,001465,BYC우,03,32.0,55.0,5.3212075269968716e-05
30,2014-10,5058632052000,001040,CJ,10,258617.0,295051.0,0.0022252487324413038
31,2014-11,4709760876000,001040,CJ,11,-305878.0,295051.0,0.0022252487324413038
32,2014-12,4537170612000,001040,CJ,12,42891.0,295051.0,0.0022252487324413038
33,2015-01,5017063657500,001040,CJ,01,252009.0,295051.0,0.0022252487324413038
34,2015-02,5046148084500,001040,CJ,02,67138.0,295051.0,0.0022252487324413038
35,2015-03,5122449552000,001040,CJ,03,-19726.0,295051.0,0.0022252487324413038
36,2014-10,1108852801200,079160,CJ CGV,10,-47988.0,-392248.0,-0.0027058615733888806
37,2014-11,1098272144700,079160,CJ CGV,11,-36173.0,-392248.0,-0.0027058615733888806
38,2014-12,1142710902000,079160,CJ CGV,12,-47376.0,-392248.0,-0.0027058615733888806
39,2015-01,1290840093000,079160,CJ CGV,01,-95418.0,-392248.0,-0.0027058615733888806
40,2015-02,1360672425900,079160,CJ CGV,02,112154.0,-392248.0,-0.0027058615733888806
41,2015-03,1432620890100,079160,CJ CGV,03,-277447.0,-392248.0,-0.0027058615733888806
42,2014-10,4402782392000,000120,CJ대한통운,10,65905.0,-141942.0,-0.0009314403787168402
43,2014-11,4482625596000,000120,CJ대한통운,11,-79807.0,-141942.0,-0.0009314403787168402
44,2014-12,4471219424000,000120,CJ대한통운,12,-26758.0,-141942.0,-0.0009314403787168402
45,2015-01,4368563876000,000120,CJ대한통운,01,-39748.0,-141942.0,-0.0009314403787168402
46,2015-02,4129034264000,000120,CJ대한통운,02,41856.0,-141942.0,-0.0009314403787168402
47,2015-03,4448407080000,000120,CJ대한통운,03,-103390.0,-141942.0,-0.0009314403787168402
48,2014-10,91982778880,011150,CJ씨푸드,10,-10370.0,-12312.0,-3.7558924769027375e-05
49,2014-11,88569355445,011150,CJ씨푸드,11,-39.0,-12312.0,-3.7558924769027375e-05
50,2014-12,88928663175,011150,CJ씨푸드,12,-1903.0,-12312.0,-3.7558924769027375e-05
51,2014-10,212234939700,001045,CJ우,10,61924.0,91499.0,0.004582978502480207
52,2014-11,170872858800,001045,CJ우,11,1977.0,91499.0,0.004582978502480207
53,2014-12,172002970300,001045,CJ우,12,23646.0,91499.0,0.004582978502480207
54,2015-01,188954642800,001045,CJ우,01,769.0,91499.0,0.004582978502480207
55,2015-02,204776203800,001045,CJ우,02,18925.0,91499.0,0.004582978502480207
56,2015-03,201159847000,001045,CJ우,03,-15742.0,91499.0,0.004582978502480207
57,2014-10,5129188048000,097950,CJ제일제당,10,-125860.0,-185639.0,-0.0004433472963741036
58,2014-11,4630699184000,097950,CJ제일제당,11,-205373.0,-185639.0,-0.0004433472963741036
59,2014-12,4026888337000,097950,CJ제일제당,12,13992.0,-185639.0,-0.0004433472963741036
60,2015-01,4624680896000,097950,CJ제일제당,01,89211.0,-185639.0,-0.0004433472963741036
61,2015-02,4696941535000,097950,CJ제일제당,02,-45425.0,-185639.0,-0.0004433472963741036
62,2015-03,4966276644000,097950,CJ제일제당,03,87816.0,-185639.0,-0.0004433472963741036
63,2014-10,260176868000,097955,CJ제일제당 우,10,62325.0,97283.0,0.008638045780484351
64,2014-11,234955641000,097955,CJ제일제당 우,11,26410.0,97283.0,0.008638045780484351
65,2014-12,215707862500,097955,CJ제일제당 우,12,6550.0,97283.0,0.008638045780484351
66,2015-01,233628208000,097955,CJ제일제당 우,01,8264.0,97283.0,0.008638045780484351
67,2015-02,240929089500,097955,CJ제일제당 우,02,-2287.0,97283.0,0.008638045780484351
68,2015-03,248893687500,097955,CJ제일제당 우,03,-3979.0,97283.0,0.008638045780484351
69,2014-10,782213336500,037560,LG헬로비전,10,-1744412.0,-4546843.0,-0.007100300366310306
70,2014-11,832553798750,037560,LG헬로비전,11,-635829.0,-4546843.0,-0.007100300366310306
71,2014-12,754332465100,037560,LG헬로비전,12,-616230.0,-4546843.0,-0.007100300366310306
72,2015-01,702443065550,037560,LG헬로비전,01,-1001306.0,-4546843.0,-0.007100300366310306
73,2015-02,820936769000,037560,LG헬로비전,02,201251.0,-4546843.0,-0.007100300366310306
74,2015-03,956468782750,037560,LG헬로비전,03,-750317.0,-4546843.0,-0.007100300366310306
75,2014-10,85778012600,000590,CS홀딩스,10,10838.0,29396.0,0.003470670480733476
76,2014-11,91088629800,000590,CS홀딩스,11,3871.0,29396.0,0.003470670480733476
77,2014-12,96399247000,000590,CS홀딩스,12,3480.0,29396.0,0.003470670480733476
78,2015-01,92820352800,000590,CS홀딩스,01,10986.0,29396.0,0.003470670480733476
79,2015-02,101478967800,000590,CS홀딩스,02,385.0,29396.0,0.003470670480733476
80,2015-03,92358560000,000590,CS홀딩스,03,-164.0,29396.0,0.003470670480733476
81,2014-10,2044310598500,139130,DGB금융지주,10,-1026986.0,-4314791.0,-0.003268747694060429
82,2014-11,1568421901800,139130,DGB금융지주,11,-576952.0,-4314791.0,-0.003268747694060429
83,2014-12,1514800640200,139130,DGB금융지주,12,-2067587.0,-4314791.0,-0.003268747694060429
84,2015-01,1791963432400,139130,DGB금융지주,01,-1840242.0,-4314791.0,-0.003268747694060429
85,2015-02,1961016586400,139130,DGB금융지주,02,-665901.0,-4314791.0,-0.003268747694060429
86,2015-03,2045543163400,139130,DGB금융지주,03,1862877.0,-4314791.0,-0.003268747694060429
87,2014-10,287000000000,004840,DRB동일,10,72421.0,46140.0,0.0005812105041031653
88,2014-11,213500000000,004840,DRB동일,11,-112831.0,46140.0,0.0005812105041031653
89,2014-12,222250000000,004840,DRB동일,12,10493.0,46140.0,0.0005812105041031653
90,2015-01,210000000000,004840,DRB동일,01,48357.0,46140.0,0.0005812105041031653
91,2015-02,264250000000,004840,DRB동일,02,19691.0,46140.0,0.0005812105041031653
92,2015-03,295750000000,004840,DRB동일,03,8009.0,46140.0,0.0005812105041031653
93,2014-10,64400000000,155660,DSR,10,131308.0,-37177.0,-0.001756951659001314
94,2014-11,64000000000,155660,DSR,11,47115.0,-37177.0,-0.001756951659001314
95,2014-12,58640000000,155660,DSR,12,55640.0,-37177.0,-0.001756951659001314
96,2015-01,54560000000,155660,DSR,01,-5490.0,-37177.0,-0.001756951659001314
97,2015-02,58720000000,155660,DSR,02,-104121.0,-37177.0,-0.001756951659001314
98,2015-03,64960000000,155660,DSR,03,-161629.0,-37177.0,-0.001756951659001314
99,2014-10,49680000000,069730,DSR제강,10,72333.0,81723.0,0.0006616570919486215
100,2014-11,47808000000,069730,DSR제강,11,-69984.0,81723.0,0.0006616570919486215
101,2014-12,45504000000,069730,DSR제강,12,66955.0,81723.0,0.0006616570919486215
102,2015-01,45648000000,069730,DSR제강,01,12955.0,81723.0,0.0006616570919486215
103,2015-02,55440000000,069730,DSR제강,02,267.0,81723.0,0.0006616570919486215
104,2015-03,62352000000,069730,DSR제강,03,-803.0,81723.0,0.0006616570919486215
105,2014-10,491862000000,017940,E1,10,9168.0,4816.0,-0.000542716647680832
106,2014-11,493920000000,017940,E1,11,29288.0,4816.0,-0.000542716647680832
107,2014-12,474026000000,017940,E1,12,18256.0,4816.0,-0.000542716647680832
108,2015-01,434238000000,017940,E1,01,-12515.0,4816.0,-0.000542716647680832
109,2015-02,453446000000,017940,E1,02,-9200.0,4816.0,-0.000542716647680832
110,2015-03,449330000000,017940,E1,03,-30181.0,4816.0,-0.000542716647680832
111,2014-10,228690000000,007700,F&F홀딩스,10,6489.0,53080.0,0.00026950010526086544
112,2014-11,209440000000,007700,F&F홀딩스,11,5608.0,53080.0,0.00026950010526086544
113,2014-12,231000000000,007700,F&F홀딩스,12,1150.0,53080.0,0.00026950010526086544
114,2015-01,210210000000,007700,F&F홀딩스,01,-10074.0,53080.0,0.00026950010526086544
115,2015-02,218680000000,007700,F&F홀딩스,02,-49132.0,53080.0,0.00026950010526086544
116,2015-03,279510000000,007700,F&F홀딩스,03,99039.0,53080.0,0.00026950010526086544
117,2014-10,2365979377500,114090,GKL,10,1052093.0,1722359.0,0.004355414039317847
118,2014-11,2338144326000,114090,GKL,11,258513.0,1722359.0,0.004355414039317847
119,2014-12,1994845357500,114090,GKL,12,-228100.0,1722359.0,0.004355414039317847
120,2015-01,2480412367000,114090,GKL,01,719227.0,1722359.0,0.004355414039317847
121,2015-02,2149484532500,114090,GKL,02,326125.0,1722359.0,0.004355414039317847
122,2015-03,2341237109500,114090,GKL,03,-405499.0,1722359.0,0.004355414039317847
123,2014-10,3851342418100,078930,GS,10,1049738.0,1489067.0,0.0011074424300014595
124,2014-11,3865279724800,078930,GS,11,504386.0,1489067.0,0.0011074424300014595
125,2014-12,3716615120000,078930,GS,12,413620.0,1489067.0,0.0011074424300014595
126,2015-01,3874571262600,078930,GS,01,-62936.0,1489067.0,0.0011074424300014595
127,2015-02,4111505476500,078930,GS,02,596508.0,1489067.0,0.0011074424300014595
128,2015-03,3986069716200,078930,GS,03,-1012249.0,1489067.0,0.0011074424300014595
129,2014-10,1995100000000,006360,GS건설,10,-4271642.0,-6149433.0,-0.005928727648752275
130,2014-11,1899250000000,006360,GS건설,11,-3066573.0,-6149433.0,-0.005928727648752275
131,2014-12,1650750000000,006360,GS건설,12,-966690.0,-6149433.0,-0.005928727648752275
132,2015-01,1778550000000,006360,GS건설,01,302636.0,-6149433.0,-0.005928727648752275
133,2015-02,2151300000000,006360,GS건설,02,2615432.0,-6149433.0,-0.005928727648752275
134,2015-03,2144200000000,006360,GS건설,03,-762596.0,-6149433.0,-0.005928727648752275
135,2014-10,199874486680,001250,GS글로벌,10,34187.0,-160683.0,-0.0015000537243936123
136,2014-11,203479888920,001250,GS글로벌,11,-38706.0,-160683.0,-0.0015000537243936123
137,2014-12,192663682200,001250,GS글로벌,12,42487.0,-160683.0,-0.0015000537243936123
138,2015-01,176214034480,001250,GS글로벌,01,-93935.0,-160683.0,-0.0015000537243936123
139,2015-02,181622137840,001250,GS글로벌,02,104519.0,-160683.0,-0.0015000537243936123
140,2015-03,175763359200,001250,GS글로벌,03,-209235.0,-160683.0,-0.0015000537243936123
141,2014-10,1917300000000,007070,GS리테일,10,486845.0,4992708.0,0.011520270221936007
142,2014-11,1948100000000,007070,GS리테일,11,-138817.0,4992708.0,0.011520270221936007
143,2014-12,1975050000000,007070,GS리테일,12,723291.0,4992708.0,0.011520270221936007
144,2015-01,2009700000000,007070,GS리테일,01,-432691.0,4992708.0,0.011520270221936007
145,2015-02,2156000000000,007070,GS리테일,02,3552798.0,4992708.0,0.011520270221936007
146,2015-03,2571800000000,007070,GS리테일,03,801282.0,4992708.0,0.011520270221936007
147,2014-10,52741608300,078935,GS우,10,3876.0,15025.0,-0.000914988721520191
148,2014-11,52652367000,078935,GS우,11,13397.0,15025.0,-0.000914988721520191
149,2014-12,50956782300,078935,GS우,12,35114.0,15025.0,-0.000914988721520191
150,2015-01,48814991100,078935,GS우,01,-2423.0,15025.0,-0.000914988721520191
151,2015-02,48279543300,078935,GS우,02,-29401.0,15025.0,-0.000914988721520191
152,2015-03,48814991100,078935,GS우,03,-5538.0,15025.0,-0.000914988721520191
153,2014-10,131876575640,035000,지투알,10,11777.0,164975.0,0.002077021018316255
154,2014-11,131710901550,035000,지투알,11,4872.0,164975.0,0.002077021018316255
155,2014-12,127403375210,035000,지투알,12,3120.0,164975.0,0.002077021018316255
156,2015-01,117628603900,035000,지투알,01,16406.0,164975.0,0.002077021018316255
157,2015-02,124752589770,035000,지투알,02,-24766.0,164975.0,0.002077021018316255
158,2015-03,157721733680,035000,지투알,03,153566.0,164975.0,0.002077021018316255
159,2014-10,322708221000,001500,현대차증권,10,69365.0,-302090.0,-0.001280567022341772
160,2014-11,325641932100,001500,현대차증권,11,-131564.0,-302090.0,-0.001280567022341772
161,2014-12,297771676650,001500,현대차증권,12,-115293.0,-302090.0,-0.001280567022341772
162,2015-01,300705387750,001500,현대차증권,01,-84080.0,-302090.0,-0.001280567022341772
163,2015-02,316840798800,001500,현대차증권,02,-90322.0,-302090.0,-0.001280567022341772
164,2015-03,362313320850,001500,현대차증권,03,49804.0,-302090.0,-0.001280567022341772
165,2014-10,100561713600,003560,IHQ,10,-944288.0,690003.0,-0.0001333424409185994
166,2014-11,140898234190,003560,IHQ,11,1657074.0,690003.0,-0.0001333424409185994
167,2014-12,137554789050,003560,IHQ,12,1202897.0,690003.0,-0.0001333424409185994
168,2015-01,123584508020,003560,IHQ,01,-696794.0,690003.0,-0.0001333424409185994
169,2015-02,121806313660,003560,IHQ,02,-717386.0,690003.0,-0.0001333424409185994
170,2015-03,454567302700,003560,IHQ,03,188500.0,690003.0,-0.0001333424409185994
171,2014-10,829865892320,175330,JB금융지주,10,-500555.0,-5677951.0,-0.007005685674321513
172,2014-11,765348879350,175330,JB금융지주,11,-1767802.0,-5677951.0,-0.007005685674321513
173,2014-12,770409037230,175330,JB금융지주,12,167520.0,-5677951.0,-0.007005685674321513
174,2015-01,737518011010,175330,JB금융지주,01,-959662.0,-5677951.0,-0.007005685674321513
175,2015-02,862756918540,175330,JB금융지주,02,-71361.0,-5677951.0,-0.007005685674321513
176,2015-03,796974866100,175330,JB금융지주,03,-2546091.0,-5677951.0,-0.007005685674321513
177,2014-10,217205081200,001060,JW중외제약,10,3105.0,-487569.0,-0.005237010656499413
178,2014-11,231147299250,001060,JW중외제약,11,38711.0,-487569.0,-0.005237010656499413
179,2014-12,212702083200,001060,JW중외제약,12,-156188.0,-487569.0,-0.005237010656499413
180,2015-01,231159381250,001060,JW중외제약,01,-188984.0,-487569.0,-0.005237010656499413
181,2015-02,246789375000,001060,JW중외제약,02,-113222.0,-487569.0,-0.005237010656499413
182,2015-03,269000418750,001060,JW중외제약,03,-70991.0,-487569.0,-0.005237010656499413
183,2014-10,1206847650,001067,JW중외제약2우B,10,-1.0,-49.0,-0.00019024440710026838
184,2015-01,1203362250,001067,JW중외제약2우B,01,82.0,-49.0,-0.00019024440710026838
185,2015-02,1451925600,001067,JW중외제약2우B,02,-123.0,-49.0,-0.00019024440710026838
186,2015-03,1515052800,001067,JW중외제약2우B,03,-7.0,-49.0,-0.00019024440710026838
187,2014-10,16226771106000,105560,KB금융,10,607827.0,-7218965.0,-0.0032165207218049913
188,2014-11,15029080857700,105560,KB금융,11,-513851.0,-7218965.0,-0.0032165207218049913
