,날짜,시가총액,거래소코드,회사명_x,month,순매수거래량,순매수거래량_최종,순매수거래대금 비중_외국인
0,2017-10,343207422350,095570,AJ네트웍스,10,155970.0,709633.0,0.001840695037380653
1,2017-11,390497940300,095570,AJ네트웍스,11,266072.0,709633.0,0.001840695037380653
2,2017-12,326351396150,095570,AJ네트웍스,12,128942.0,709633.0,0.001840695037380653
3,2018-01,362872786250,095570,AJ네트웍스,01,63154.0,709633.0,0.001840695037380653
4,2018-02,353508327250,095570,AJ네트웍스,02,44254.0,709633.0,0.001840695037380653
5,2018-03,333374740400,095570,AJ네트웍스,03,51241.0,709633.0,0.001840695037380653
6,2017-10,286794585000,068400,SK렌터카,10,-190834.0,506718.0,0.003721698957835105
7,2017-11,369843210000,068400,SK렌터카,11,-180289.0,506718.0,0.003721698957835105
8,2017-12,219469833000,068400,SK렌터카,12,258010.0,506718.0,0.003721698957835105
9,2018-01,273506805000,068400,SK렌터카,01,175536.0,506718.0,0.003721698957835105
10,2018-02,241394670000,068400,SK렌터카,02,338299.0,506718.0,0.003721698957835105
11,2018-03,285687270000,068400,SK렌터카,03,105996.0,506718.0,0.003721698957835105
12,2017-10,891560855300,006840,AK홀딩스,10,68672.0,303600.0,0.0042726614975950716
13,2017-11,903483660200,006840,AK홀딩스,11,-19628.0,303600.0,0.0042726614975950716
14,2017-12,907457928500,006840,AK홀딩스,12,2787.0,303600.0,0.0042726614975950716
15,2018-01,1132666465500,006840,AK홀딩스,01,41610.0,303600.0,0.0042726614975950716
16,2018-02,1084975245900,006840,AK홀딩스,02,45912.0,303600.0,0.0042726614975950716
17,2018-03,965747196900,006840,AK홀딩스,03,164247.0,303600.0,0.0042726614975950716
18,2017-10,3919217137500,027410,BGF,10,188355.0,-27984.0,0.0008492271058854405
19,2018-01,495248086650,027410,BGF,01,61165.0,-27984.0,0.0008492271058854405
20,2018-02,404909673450,027410,BGF,02,-74537.0,-27984.0,0.0008492271058854405
21,2018-03,1249336244900,027410,BGF,03,-202967.0,-27984.0,0.0008492271058854405
22,2017-10,3239796345240,138930,BNK금융지주,10,816614.0,8422649.0,0.004833504591901978
23,2017-11,3099644189460,138930,BNK금융지주,11,-972148.0,8422649.0,0.004833504591901978
24,2017-12,3070310017320,138930,BNK금융지주,12,1271973.0,8422649.0,0.004833504591901978
25,2018-01,3454913607600,138930,BNK금융지주,01,4494124.0,8422649.0,0.004833504591901978
26,2018-02,3650474755200,138930,BNK금융지주,02,2510757.0,8422649.0,0.004833504591901978
27,2018-03,3389726558400,138930,BNK금융지주,03,301329.0,8422649.0,0.004833504591901978
