"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 03- 31","3,930","4,025","4,045","3,915","479.16K","-2.00%"
"2016- 03- 30","4,010","4,020","4,090","3,950","1.09M","1.26%"
"2016- 03- 29","3,960","3,850","4,055","3,850","898.19K","2.46%"
"2016- 03- 28","3,865","3,900","3,960","3,860","313.34K","-0.51%"
"2016- 03- 25","3,885","3,880","3,925","3,855","307.41K","0.39%"
"2016- 03- 24","3,870","3,950","3,955","3,835","414.75K","-1.15%"
"2016- 03- 23","3,915","3,945","4,035","3,895","663.17K","0.13%"
"2016- 03- 22","3,910","3,870","4,035","3,820","861.63K","0.77%"
"2016- 03- 21","3,880","3,905","3,930","3,860","329.26K","-0.51%"
"2016- 03- 18","3,900","3,885","3,970","3,885","430.23K","0.13%"
"2016- 03- 17","3,895","3,990","4,000","3,890","653.13K","-2.14%"
"2016- 03- 16","3,980","4,060","4,060","3,970","443.97K","-2.09%"
"2016- 03- 15","4,065","4,055","4,080","3,965","541.03K","1.50%"
"2016- 03- 14","4,005","4,100","4,115","3,990","547.82K","-1.60%"
"2016- 03- 11","4,070","4,145","4,145","4,050","619.26K","-1.33%"
"2016- 03- 10","4,125","4,065","4,150","4,020","851.93K","1.85%"
"2016- 03- 09","4,050","4,190","4,190","4,040","877.36K","-1.46%"
"2016- 03- 08","4,110","4,250","4,285","4,080","2.93M","3.66%"
"2016- 03- 07","3,965","4,040","4,050","3,955","712.90K","-1.00%"
"2016- 03- 04","4,005","4,115","4,140","3,925","1.29M","-2.67%"
"2016- 03- 03","4,115","4,220","4,225","4,075","1.01M","-1.67%"
"2016- 03- 02","4,185","4,160","4,250","4,150","1.08M","2.07%"
"2016- 02- 29","4,100","4,200","4,235","4,075","819.58K","-1.91%"
"2016- 02- 26","4,180","4,130","4,220","4,080","957.94K","1.46%"
"2016- 02- 25","4,120","4,190","4,195","4,040","1.05M","-0.84%"
"2016- 02- 24","4,155","4,180","4,280","4,120","1.13M","-0.60%"
"2016- 02- 23","4,180","4,315","4,320","4,115","1.47M","-2.45%"
"2016- 02- 22","4,285","4,220","4,340","4,190","1.76M","4.51%"
"2016- 02- 19","4,100","4,290","4,390","4,100","3.01M","-2.50%"
"2016- 02- 18","4,205","4,085","4,220","4,025","2.41M","5.79%"
"2016- 02- 17","3,975","4,115","4,115","3,920","1.19M","-2.33%"
"2016- 02- 16","4,070","4,025","4,130","3,990","1.57M","2.91%"
"2016- 02- 15","3,955","3,925","4,015","3,805","1.76M","6.75%"
"2016- 02- 12","3,705","3,785","3,940","3,500","2.03M","-3.89%"
"2016- 02- 11","3,855","3,970","4,050","3,830","1.62M","-8.32%"
"2016- 02- 05","4,205","4,295","4,480","4,140","3.12M","-1.29%"
"2016- 02- 04","4,260","3,960","4,390","3,940","6.31M","10.08%"
"2016- 02- 03","3,870","3,880","3,965","3,850","839.35K","-1.65%"
"2016- 02- 02","3,935","4,070","4,105","3,900","1.38M","-3.20%"
"2016- 02- 01","4,065","4,010","4,130","3,970","2.78M","2.65%"
"2016- 01- 29","3,960","4,060","4,175","3,875","4.80M","6.02%"
"2016- 01- 28","3,735","3,720","3,865","3,650","1.12M","0.40%"
"2016- 01- 27","3,720","3,900","3,970","3,720","2.06M","-4.74%"
"2016- 01- 26","3,905","3,875","4,080","3,830","3.41M","-0.38%"
"2016- 01- 25","3,920","3,815","4,020","3,710","3.18M","3.29%"
"2016- 01- 22","3,795","3,720","3,985","3,630","4.35M","4.83%"
"2016- 01- 21","3,620","3,970","3,970","3,590","3.97M","-5.24%"
"2016- 01- 20","3,820","3,280","4,120","3,255","16.14M","17.36%"
"2016- 01- 19","3,255","3,410","3,430","3,245","1.12M","-5.65%"
"2016- 01- 18","3,450","3,515","3,515","3,375","947.06K","-3.23%"
"2016- 01- 15","3,565","3,845","3,880","3,480","2.53M","-6.55%"
"2016- 01- 14","3,815","3,800","3,950","3,780","3.87M","0.53%"
"2016- 01- 13","3,795","3,925","3,985","3,775","4.98M","-1.04%"
"2016- 01- 12","3,835","3,925","4,005","3,720","4.15M","-3.16%"
"2016- 01- 11","3,960","4,345","4,800","3,850","21.69M","-1.86%"
"2016- 01- 08","4,035","3,015","4,035","2,950","8.33M","29.95%"
"2016- 01- 07","3,105","3,190","3,230","3,095","409.81K","-3.27%"
"2016- 01- 06","3,210","3,205","3,300","3,145","417.42K","0.00%"
"2016- 01- 05","3,210","3,160","3,250","3,100","402.05K","-1.38%"
"2016- 01- 04","3,255","3,375","3,380","3,255","360.13K","-3.27%"
"2015- 12- 30","3,365","3,345","3,450","3,335","733.14K","1.82%"
"2015- 12- 29","3,305","3,130","3,305","3,075","467.31K","6.61%"
"2015- 12- 28","3,100","3,170","3,175","3,100","240.56K","-0.96%"
"2015- 12- 24","3,130","3,210","3,210","3,115","256.97K","0.00%"
"2015- 12- 23","3,130","3,190","3,220","3,110","317.99K","-1.42%"
"2015- 12- 22","3,175","3,340","3,350","3,155","416.73K","-3.35%"
"2015- 12- 21","3,285","3,245","3,315","3,210","342.57K","1.23%"
"2015- 12- 18","3,245","3,060","3,270","3,060","558.65K","4.17%"
"2015- 12- 17","3,115","3,090","3,140","3,030","343.11K","2.13%"
"2015- 12- 16","3,050","3,025","3,165","3,025","309.86K","1.33%"
"2015- 12- 15","3,010","2,930","3,060","2,930","400.83K","2.73%"
"2015- 12- 14","2,930","3,065","3,095","2,905","753.27K","-7.86%"
"2015- 12- 11","3,180","3,295","3,315","3,140","347.47K","-1.70%"
"2015- 12- 10","3,235","3,300","3,355","3,080","685.16K","-1.97%"
"2015- 12- 09","3,300","3,420","3,430","3,250","369.72K","-2.37%"
"2015- 12- 08","3,380","3,360","3,430","3,340","450.32K","-1.31%"
"2015- 12- 07","3,425","3,435","3,515","3,425","447.36K","-0.15%"
"2015- 12- 04","3,430","3,325","3,505","3,275","446.98K","1.33%"
"2015- 12- 03","3,385","3,495","3,505","3,345","795.07K","-3.56%"
"2015- 12- 02","3,510","3,560","3,560","3,470","636.81K","-0.71%"
"2015- 12- 01","3,535","3,535","3,565","3,475","878.22K","1.29%"
"2015- 11- 30","3,490","3,590","3,670","3,465","1.56M","2.50%"
"2015- 11- 27","3,405","3,450","3,450","3,355","558.40K","-1.30%"
"2015- 11- 26","3,450","3,525","3,545","3,425","854.18K","-1.71%"
"2015- 11- 25","3,510","3,435","3,680","3,425","2.94M","2.48%"
"2015- 11- 24","3,425","3,330","3,460","3,270","920.39K","3.47%"
"2015- 11- 23","3,310","3,400","3,475","3,250","1.01M","-1.93%"
"2015- 11- 20","3,375","3,350","3,515","3,315","1.73M","2.12%"
"2015- 11- 19","3,305","3,250","3,350","3,200","1.06M","3.44%"
"2015- 11- 18","3,195","3,270","3,370","3,170","1.05M","-1.08%"
"2015- 11- 17","3,230","3,380","3,380","3,210","1.14M","1.41%"
"2015- 11- 16","3,185","3,390","3,390","3,165","1.42M","-7.41%"
"2015- 11- 13","3,440","3,575","3,740","3,350","1.62M","-5.36%"
"2015- 11- 12","3,635","3,825","3,865","3,630","951.23K","-4.22%"
"2015- 11- 11","3,795","3,580","4,130","3,580","4.38M","5.12%"
"2015- 11- 10","3,610","3,750","3,805","3,550","794.42K","-3.09%"
"2015- 11- 09","3,725","3,860","3,910","3,655","911.45K","-3.25%"
"2015- 11- 06","3,850","3,995","3,995","3,850","786.52K","-3.63%"
"2015- 11- 05","3,995","3,855","3,995","3,750","1.12M","4.44%"
"2015- 11- 04","3,825","4,040","4,095","3,805","1.30M","-3.89%"
"2015- 11- 03","3,980","4,010","4,065","3,900","961.93K","-0.25%"
"2015- 11- 02","3,990","4,120","4,205","3,970","1.23M","-4.89%"
"2015- 10- 30","4,195","4,350","4,350","4,085","1.35M","-3.56%"
"2015- 10- 29","4,350","4,300","4,690","4,250","2.77M","2.59%"
"2015- 10- 28","4,240","4,445","4,470","4,115","1.69M","-4.18%"
"2015- 10- 27","4,425","4,645","4,645","4,400","828.25K","-2.10%"
"2015- 10- 26","4,520","4,370","4,710","4,295","2.24M","3.43%"
"2015- 10- 23","4,370","4,560","4,600","4,360","1.47M","-3.32%"
"2015- 10- 22","4,520","4,530","4,675","4,450","1.50M","0.44%"
"2015- 10- 21","4,500","4,855","4,855","4,480","1.98M","-7.12%"
"2015- 10- 20","4,845","4,995","5,060","4,795","1.85M","-3.29%"
"2015- 10- 19","5,010","4,780","5,050","4,630","2.13M","4.81%"
"2015- 10- 16","4,780","4,980","4,980","4,750","1.36M","-3.43%"
"2015- 10- 15","4,950","4,835","4,975","4,570","2.75M","3.13%"
"2015- 10- 14","4,800","5,020","5,190","4,790","3.19M","-4.19%"
"2015- 10- 13","5,010","5,280","5,390","4,875","4.59M","-7.56%"
"2015- 10- 12","5,420","5,780","5,790","5,360","2.06M","-4.58%"
"2015- 10- 08","5,680","5,700","5,770","5,320","2.19M","1.25%"
"2015- 10- 07","5,610","5,750","6,180","5,580","5.47M","-1.92%"
"2015- 10- 06","5,720","5,820","5,870","5,550","1.86M","-1.04%"
"2015- 10- 05","5,780","5,950","5,990","5,770","1.67M","-1.37%"
"2015- 10- 02","5,860","5,900","5,900","5,660","2.21M","0.69%"
"2015- 10- 01","5,820","5,980","6,060","5,700","2.75M","-1.19%"
"2015- 09- 30","5,890","5,550","6,180","5,490","4.29M","0.00%"
"2015- 09- 25","5,890","5,730","6,050","5,550","3.94M","2.79%"
"2015- 09- 24","5,730","5,750","5,890","5,270","5.74M","0.53%"
"2015- 09- 23","5,700","6,000","6,440","5,510","13.39M","-1.21%"
"2015- 09- 22","5,770","4,880","6,280","4,845","32.78M","19.34%"
"2015- 09- 21","4,835","4,965","5,170","4,715","5.99M","-2.91%"
"2015- 09- 18","4,980","5,030","5,600","4,910","17.27M","3.43%"
"2015- 09- 17","4,815","4,505","5,260","4,500","18.62M","8.94%"
"2015- 09- 16","4,420","4,340","4,620","4,330","3.65M","2.43%"
"2015- 09- 15","4,315","4,450","4,500","4,240","2.84M","-5.16%"
"2015- 09- 14","4,550","4,330","4,920","4,320","10.79M","4.60%"
"2015- 09- 11","4,350","4,335","4,375","4,115","2.72M","-0.68%"
"2015- 09- 10","4,380","4,255","4,495","4,185","4.66M","2.10%"
"2015- 09- 09","4,290","4,420","4,500","4,130","6.20M","-0.23%"
"2015- 09- 08","4,300","4,800","4,850","4,205","9.78M","-11.89%"
"2015- 09- 07","4,880","4,950","5,530","4,765","12.70M","0.62%"
"2015- 09- 04","4,850","4,890","5,220","4,745","11.75M","-2.61%"
