"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 03- 31","3,505","3,630","3,850","3,445","3.99M","2.04%"
"2015- 03- 30","3,435","3,420","3,735","3,305","2.67M","2.69%"
"2015- 03- 27","3,345","3,570","3,615","3,180","2.92M","-4.02%"
"2015- 03- 26","3,485","3,670","3,830","3,410","2.67M","-6.69%"
"2015- 03- 25","3,735","3,265","3,735","3,265","3.54M","14.92%"
"2015- 03- 24","3,250","3,210","3,300","3,125","953.77K","0.31%"
"2015- 03- 23","3,240","2,990","3,325","2,990","2.62M","9.09%"
"2015- 03- 20","2,970","2,960","2,975","2,895","262.22K","1.02%"
"2015- 03- 19","2,940","2,900","2,940","2,830","393.96K","1.38%"
"2015- 03- 18","2,900","2,970","2,970","2,870","383.65K","-1.69%"
"2015- 03- 17","2,950","2,995","3,050","2,940","559.36K","-1.50%"
"2015- 03- 16","2,995","2,930","3,015","2,885","917.25K","2.39%"
"2015- 03- 13","2,925","2,935","2,940","2,885","385.63K","0.00%"
"2015- 03- 12","2,925","2,885","2,960","2,870","742.04K","2.63%"
"2015- 03- 11","2,850","2,805","2,850","2,765","213.22K","1.79%"
"2015- 03- 10","2,800","2,845","2,935","2,765","605.46K","-0.53%"
"2015- 03- 09","2,815","2,765","2,825","2,725","262.11K","1.81%"
"2015- 03- 06","2,765","2,770","2,800","2,700","387.48K","-0.18%"
"2015- 03- 05","2,770","2,790","2,830","2,735","439.57K","-0.54%"
"2015- 03- 04","2,785","2,680","2,810","2,675","602.26K","4.11%"
"2015- 03- 03","2,675","2,695","2,755","2,675","519.43K","-1.83%"
"2015- 03- 02","2,725","2,885","2,935","2,685","923.78K","-5.55%"
"2015- 02- 27","2,885","2,885","2,935","2,840","351.94K","-0.17%"
"2015- 02- 26","2,890","3,015","3,035","2,860","388.95K","-5.25%"
"2015- 02- 25","3,050","3,060","3,075","2,955","398.29K","-0.33%"
"2015- 02- 24","3,060","2,825","3,070","2,825","360.01K","7.56%"
"2015- 02- 23","2,845","2,905","2,905","2,815","198.18K","1.07%"
"2015- 02- 17","2,815","2,945","2,945","2,815","388.86K","-4.58%"
"2015- 02- 16","2,950","2,955","3,075","2,925","496.89K","0.00%"
"2015- 02- 13","2,950","2,825","3,010","2,820","1.08M","4.42%"
"2015- 02- 12","2,825","2,925","2,965","2,750","664.24K","-3.42%"
"2015- 02- 11","2,925","2,905","3,060","2,890","822.92K","0.86%"
"2015- 02- 10","2,900","2,910","2,985","2,705","1.00M","-3.01%"
"2015- 02- 09","2,990","3,515","3,515","2,990","2.30M","-14.94%"
"2015- 02- 06","3,515","3,620","3,650","3,465","665.18K","-0.99%"
"2015- 02- 05","3,550","3,540","3,625","3,415","937.67K","1.14%"
"2015- 02- 04","3,510","3,320","3,550","3,290","1.77M","6.36%"
"2015- 02- 03","3,300","3,220","3,310","3,150","856.62K","2.64%"
"2015- 02- 02","3,215","3,030","3,225","2,985","920.19K","6.46%"
"2015- 01- 30","3,020","3,020","3,095","2,895","402.21K","-0.66%"
"2015- 01- 29","3,040","3,060","3,180","2,975","656.92K","-0.65%"
"2015- 01- 28","3,060","3,065","3,180","2,970","789.54K","-1.77%"
"2015- 01- 27","3,115","3,365","3,480","3,030","2.38M","-7.01%"
"2015- 01- 26","3,350","3,270","3,385","3,205","1.37M","2.60%"
"2015- 01- 23","3,265","2,915","3,265","2,875","2.24M","14.96%"
"2015- 01- 22","2,840","2,900","2,940","2,745","385.76K","-0.53%"
"2015- 01- 21","2,855","2,900","2,965","2,855","246.69K","-1.55%"
"2015- 01- 20","2,900","2,925","2,965","2,815","525.69K","-0.17%"
"2015- 01- 19","2,905","2,840","3,020","2,780","1.06M","3.01%"
"2015- 01- 16","2,820","2,685","2,850","2,615","922.92K","6.62%"
"2015- 01- 15","2,645","2,510","2,645","2,485","526.54K","4.96%"
"2015- 01- 14","2,520","2,475","2,520","2,420","212.90K","1.20%"
"2015- 01- 13","2,490","2,560","2,570","2,430","464.31K","-2.92%"
"2015- 01- 12","2,565","2,585","2,600","2,505","367.31K","-1.54%"
"2015- 01- 09","2,605","2,630","2,665","2,570","273.66K","-0.95%"
"2015- 01- 08","2,630","2,620","2,660","2,585","219.14K","0.96%"
"2015- 01- 07","2,605","2,630","2,690","2,570","199.41K","0.19%"
"2015- 01- 06","2,600","2,575","2,620","2,550","199.32K","-0.95%"
"2015- 01- 05","2,625","2,645","2,665","2,565","256.08K","-1.13%"
"2015- 01- 02","2,655","2,630","2,695","2,595","286.30K","1.34%"
"2014- 12- 30","2,620","2,590","2,620","2,545","264.67K","1.16%"
"2014- 12- 29","2,590","2,520","2,610","2,480","446.13K","4.23%"
"2014- 12- 26","2,485","2,585","2,595","2,475","184.91K","-3.87%"
"2014- 12- 24","2,585","2,595","2,610","2,530","258.13K","-0.77%"
"2014- 12- 23","2,605","2,640","2,665","2,570","317.85K","-1.70%"
"2014- 12- 22","2,650","2,560","2,665","2,560","391.96K","3.52%"
"2014- 12- 19","2,560","2,540","2,580","2,500","328.40K","2.61%"
"2014- 12- 18","2,495","2,555","2,555","2,380","269.54K","-1.77%"
"2014- 12- 17","2,540","2,565","2,670","2,490","654.94K","0.79%"
"2014- 12- 16","2,520","2,475","2,545","2,360","399.77K","0.80%"
"2014- 12- 15","2,500","2,470","2,575","2,470","250.10K","-0.20%"
"2014- 12- 12","2,505","2,505","2,520","2,445","222.59K","0.00%"
"2014- 12- 11","2,505","2,355","2,520","2,355","429.97K","4.38%"
"2014- 12- 10","2,400","2,375","2,415","2,305","183.76K","1.05%"
"2014- 12- 09","2,375","2,415","2,440","2,320","193.29K","-2.26%"
"2014- 12- 08","2,430","2,430","2,455","2,415","112.20K","0.00%"
"2014- 12- 05","2,430","2,415","2,435","2,365","127.20K","0.41%"
"2014- 12- 04","2,420","2,350","2,435","2,320","181.77K","2.33%"
"2014- 12- 03","2,365","2,300","2,380","2,300","115.37K","2.83%"
"2014- 12- 02","2,300","2,290","2,340","2,245","173.33K","-0.22%"
"2014- 12- 01","2,305","2,380","2,415","2,290","325.72K","-5.14%"
"2014- 11- 28","2,430","2,440","2,465","2,390","136.30K","0.00%"
"2014- 11- 27","2,430","2,485","2,510","2,410","158.52K","-2.21%"
"2014- 11- 26","2,485","2,505","2,515","2,460","136.59K","0.00%"
"2014- 11- 25","2,485","2,590","2,595","2,475","288.15K","-0.20%"
"2014- 11- 24","2,490","2,530","2,530","2,455","213.48K","-0.40%"
"2014- 11- 21","2,500","2,425","2,540","2,415","491.78K","3.52%"
"2014- 11- 20","2,415","2,450","2,455","2,385","96.15K","-1.43%"
"2014- 11- 19","2,450","2,400","2,465","2,380","202.82K","2.08%"
"2014- 11- 18","2,400","2,335","2,420","2,335","210.77K","1.91%"
"2014- 11- 17","2,355","2,460","2,490","2,335","314.46K","-4.46%"
"2014- 11- 14","2,465","2,510","2,520","2,365","470.56K","-1.60%"
"2014- 11- 13","2,505","2,405","2,510","2,355","458.29K","3.30%"
"2014- 11- 12","2,425","2,585","2,640","2,385","1.08M","-7.79%"
"2014- 11- 11","2,630","2,675","2,765","2,580","592.90K","-0.75%"
"2014- 11- 10","2,650","2,675","2,680","2,570","297.56K","0.57%"
"2014- 11- 07","2,635","2,535","2,655","2,510","225.61K","2.73%"
"2014- 11- 06","2,565","2,570","2,675","2,530","326.82K","-0.97%"
"2014- 11- 05","2,590","2,580","2,635","2,505","325.85K","0.19%"
"2014- 11- 04","2,585","2,805","2,830","2,450","1.04M","-8.66%"
"2014- 11- 03","2,830","3,120","3,120","2,830","828.74K","-7.67%"
"2014- 10- 31","3,065","2,995","3,065","2,890","674.36K","3.20%"
"2014- 10- 30","2,970","3,000","3,010","2,835","698.31K","-0.17%"
"2014- 10- 29","2,975","3,040","3,080","2,920","422.60K","-0.83%"
"2014- 10- 28","3,000","2,850","3,000","2,770","622.81K","3.27%"
"2014- 10- 27","2,905","3,020","3,135","2,905","765.40K","-1.53%"
"2014- 10- 24","2,950","2,930","3,035","2,860","435.29K","1.90%"
"2014- 10- 23","2,895","3,000","3,085","2,830","564.83K","-4.61%"
"2014- 10- 22","3,035","3,130","3,185","3,035","762.00K","-1.78%"
"2014- 10- 21","3,090","2,970","3,180","2,880","1.34M","5.46%"
"2014- 10- 20","2,930","2,900","2,980","2,750","753.65K","2.09%"
"2014- 10- 17","2,870","2,940","3,040","2,825","690.21K","-1.03%"
"2014- 10- 16","2,900","2,860","2,950","2,730","545.57K","-0.51%"
"2014- 10- 15","2,915","2,890","2,995","2,750","652.46K","1.57%"
"2014- 10- 14","2,870","2,730","2,935","2,690","1.02M","6.69%"
"2014- 10- 13","2,690","3,095","3,110","2,670","1.57M","-14.33%"
"2014- 10- 10","3,140","3,300","3,405","3,045","888.22K","-4.56%"
"2014- 10- 08","3,290","3,145","3,350","3,135","989.57K","3.13%"
"2014- 10- 07","3,190","3,185","3,245","3,065","1.22M","1.27%"
"2014- 10- 06","3,150","3,635","3,725","3,130","1.92M","-13.34%"
"2014- 10- 02","3,635","3,410","3,730","3,295","1.80M","4.91%"
"2014- 10- 01","3,465","3,650","3,730","3,425","1.21M","-5.84%"
"2014- 09- 30","3,680","3,665","3,765","3,480","1.30M","0.00%"
"2014- 09- 29","3,680","3,820","4,040","3,370","2.22M","-2.77%"
"2014- 09- 26","3,785","3,780","3,890","3,610","2.88M","0.13%"
"2014- 09- 25","3,780","3,355","3,780","3,215","2.69M","14.89%"
"2014- 09- 24","3,290","3,230","3,330","3,125","1.29M","4.44%"
"2014- 09- 23","3,150","3,000","3,180","2,880","1.78M","4.65%"
"2014- 09- 22","3,010","2,700","3,095","2,680","1.70M","10.26%"
"2014- 09- 19","2,730","2,720","2,810","2,625","1.39M","3.02%"
"2014- 09- 18","2,650","2,580","2,670","2,505","1.59M","6.43%"
"2014- 09- 17","2,490","2,300","2,510","2,295","529.65K","8.26%"
"2014- 09- 16","2,300","2,325","2,350","2,250","248.96K","-1.50%"
"2014- 09- 15","2,335","2,405","2,415","2,330","120.90K","-2.91%"
"2014- 09- 12","2,405","2,370","2,435","2,320","454.58K","2.34%"
"2014- 09- 11","2,350","2,290","2,350","2,250","328.13K","3.75%"
"2014- 09- 05","2,265","2,260","2,320","2,260","271.05K","-0.66%"
"2014- 09- 04","2,280","2,240","2,330","2,205","583.79K","4.35%"
"2014- 09- 03","2,185","2,160","2,255","2,135","351.24K","2.34%"
"2014- 09- 02","2,135","2,065","2,150","2,050","198.07K","2.64%"
"2014- 09- 01","2,080","2,155","2,175","2,065","151.39K","-3.26%"
"2014- 08- 29","2,150","2,140","2,190","2,120","93.82K","-0.46%"
"2014- 08- 28","2,160","2,145","2,175","2,100","123.82K","1.89%"
"2014- 08- 27","2,120","2,145","2,170","2,090","161.88K","-0.93%"
"2014- 08- 26","2,140","2,045","2,155","2,035","329.73K","4.65%"
"2014- 08- 25","2,045","2,010","2,070","2,010","131.35K","1.74%"
"2014- 08- 22","2,010","2,025","2,045","1,965","118.56K","-0.25%"
"2014- 08- 21","2,015","2,050","2,050","2,005","89.00K","-0.98%"
"2014- 08- 20","2,035","2,095","2,095","2,030","68.47K","-0.97%"
"2014- 08- 19","2,055","2,095","2,120","2,055","87.51K","-0.72%"
"2014- 08- 18","2,070","2,095","2,115","2,030","111.89K","0.49%"
"2014- 08- 14","2,060","2,015","2,095","2,015","109.54K","1.98%"
"2014- 08- 13","2,020","1,995","2,045","1,990","104.97K","1.25%"
"2014- 08- 12","1,995","2,055","2,060","1,985","98.48K","-2.92%"
"2014- 08- 11","2,055","2,020","2,065","2,020","44.87K","1.73%"
"2014- 08- 08","2,020","2,145","2,145","2,015","158.01K","-4.94%"
"2014- 08- 07","2,125","2,145","2,165","2,100","77.75K","-1.62%"
"2014- 08- 06","2,160","2,175","2,220","2,140","149.93K","0.00%"
"2014- 08- 05","2,160","2,105","2,180","2,100","118.24K","1.89%"
"2014- 08- 04","2,120","2,135","2,140","2,070","48.64K","-0.93%"
"2014- 08- 01","2,140","2,075","2,140","2,005","97.39K","3.13%"
"2014- 07- 31","2,075","2,060","2,090","1,980","143.25K","0.24%"
"2014- 07- 30","2,070","2,145","2,180","2,070","92.50K","-3.50%"
"2014- 07- 29","2,145","2,170","2,210","2,125","82.78K","-1.61%"
"2014- 07- 28","2,180","2,255","2,260","2,140","158.57K","-2.46%"
"2014- 07- 25","2,235","2,155","2,245","2,105","221.03K","3.71%"
"2014- 07- 24","2,155","2,280","2,315","2,120","582.74K","-5.48%"
"2014- 07- 23","2,280","2,315","2,330","2,250","552.91K","-0.22%"
"2014- 07- 22","2,285","2,230","2,490","2,215","2.00M","4.58%"
"2014- 07- 21","2,185","2,175","2,185","2,125","133.06K","0.92%"
"2014- 07- 18","2,165","2,070","2,165","2,065","250.66K","4.84%"
"2014- 07- 17","2,065","2,090","2,115","2,065","114.50K","-1.20%"
"2014- 07- 16","2,090","2,070","2,130","2,050","214.37K","1.95%"
"2014- 07- 15","2,050","1,985","2,060","1,955","157.31K","3.27%"
"2014- 07- 14","1,985","2,000","2,070","1,980","108.78K","-1.00%"
"2014- 07- 11","2,005","2,065","2,085","2,000","50.09K","-2.91%"
"2014- 07- 10","2,065","2,055","2,085","2,030","57.30K","-0.48%"
"2014- 07- 09","2,075","2,045","2,115","2,045","85.89K","1.47%"
"2014- 07- 08","2,045","1,995","2,045","1,960","134.46K","2.51%"
"2014- 07- 07","1,995","2,000","2,060","1,985","93.93K","-0.50%"
"2014- 07- 04","2,005","2,030","2,030","1,985","72.75K","-0.99%"
"2014- 07- 03","2,025","2,045","2,045","1,990","54.06K","0.25%"
"2014- 07- 02","2,020","2,035","2,055","2,000","62.14K","0.50%"
"2014- 07- 01","2,010","2,010","2,030","1,985","84.64K","-0.50%"
"2014- 06- 30","2,020","1,995","2,040","1,975","40.49K","1.51%"
"2014- 06- 27","1,990","1,960","2,020","1,930","90.80K","2.84%"
"2014- 06- 26","1,935","1,935","1,970","1,920","57.19K","0.00%"
"2014- 06- 25","1,935","1,930","1,980","1,930","111.11K","-0.26%"
"2014- 06- 24","1,940","2,070","2,100","1,890","392.49K","-7.62%"
"2014- 06- 23","2,100","2,180","2,180","2,080","91.68K","-1.64%"
"2014- 06- 20","2,135","2,190","2,190","2,080","143.45K","-1.61%"
"2014- 06- 19","2,170","2,210","2,230","2,165","79.27K","-0.91%"
"2014- 06- 18","2,190","2,195","2,230","2,175","69.89K","-0.90%"
"2014- 06- 17","2,210","2,215","2,240","2,180","50.36K","0.45%"
"2014- 06- 16","2,200","2,200","2,215","2,180","65.95K","-1.12%"
"2014- 06- 13","2,225","2,225","2,255","2,180","50.23K","0.00%"
"2014- 06- 12","2,225","2,195","2,225","2,190","42.08K","0.00%"
"2014- 06- 11","2,225","2,215","2,265","2,200","61.21K","-0.45%"
"2014- 06- 10","2,235","2,135","2,240","2,135","81.48K","3.71%"
"2014- 06- 09","2,155","2,140","2,215","2,140","81.36K","-0.23%"
"2014- 06- 05","2,160","2,200","2,245","2,135","155.13K","-2.26%"
"2014- 06- 03","2,210","2,310","2,310","2,210","97.08K","-2.86%"
"2014- 06- 02","2,275","2,350","2,405","2,230","162.75K","-4.21%"
"2014- 05- 30","2,375","2,495","2,495","2,360","277.02K","0.42%"
"2014- 05- 29","2,365","2,405","2,410","2,350","128.30K","-1.87%"
"2014- 05- 28","2,410","2,265","2,450","2,260","459.65K","4.56%"
"2014- 05- 27","2,305","2,300","2,320","2,250","139.50K","0.22%"
"2014- 05- 26","2,300","2,380","2,380","2,280","89.99K","-1.29%"
"2014- 05- 23","2,330","2,260","2,350","2,250","163.38K","2.64%"
"2014- 05- 22","2,270","2,270","2,275","2,190","156.23K","0.67%"
"2014- 05- 21","2,255","2,240","2,330","2,240","108.68K","-1.31%"
"2014- 05- 20","2,285","2,380","2,380","2,240","117.91K","-3.99%"
"2014- 05- 19","2,380","2,430","2,430","2,315","158.11K","-0.42%"
"2014- 05- 16","2,390","2,450","2,450","2,355","205.59K","-1.65%"
"2014- 05- 15","2,430","2,400","2,430","2,365","248.09K","1.67%"
"2014- 05- 14","2,390","2,220","2,420","2,195","594.61K","8.14%"
"2014- 05- 13","2,210","2,260","2,260","2,170","204.76K","-1.34%"
"2014- 05- 12","2,240","2,245","2,280","2,220","82.57K","0.00%"
"2014- 05- 09","2,240","2,230","2,270","2,190","99.42K","-0.22%"
"2014- 05- 08","2,245","2,240","2,295","2,185","76.45K","0.00%"
"2014- 05- 07","2,245","2,295","2,365","2,225","132.49K","-1.54%"
"2014- 05- 02","2,280","2,315","2,325","2,255","93.52K","-1.08%"
"2014- 04- 30","2,305","2,300","2,340","2,265","114.28K","0.44%"
"2014- 04- 29","2,295","2,280","2,345","2,260","67.15K","0.66%"
"2014- 04- 28","2,280","2,245","2,300","2,205","78.47K","1.56%"
"2014- 04- 25","2,245","2,360","2,365","2,210","189.15K","-3.85%"
"2014- 04- 24","2,335","2,375","2,405","2,300","202.20K","-2.91%"
"2014- 04- 23","2,405","2,530","2,585","2,405","211.16K","-5.50%"
"2014- 04- 22","2,545","2,470","2,565","2,430","215.66K","3.04%"
"2014- 04- 21","2,470","2,490","2,495","2,420","123.68K","-0.40%"
"2014- 04- 18","2,480","2,485","2,505","2,440","96.38K","1.02%"
"2014- 04- 17","2,455","2,530","2,530","2,430","184.36K","-1.60%"
"2014- 04- 16","2,495","2,385","2,505","2,340","312.16K","5.50%"
"2014- 04- 15","2,365","2,380","2,400","2,360","115.77K","-0.84%"
"2014- 04- 14","2,385","2,425","2,425","2,360","74.27K","0.42%"
"2014- 04- 11","2,375","2,330","2,410","2,320","96.11K","0.21%"
"2014- 04- 10","2,370","2,385","2,470","2,355","151.68K","-1.25%"
"2014- 04- 09","2,400","2,390","2,415","2,300","281.28K","0.84%"
"2014- 04- 08","2,380","2,475","2,490","2,360","291.52K","-3.84%"
"2014- 04- 07","2,475","2,455","2,505","2,435","357.32K","-2.56%"
"2014- 04- 04","2,540","2,465","2,560","2,465","302.27K","2.63%"
"2014- 04- 03","2,475","2,405","2,545","2,400","235.46K","1.23%"
"2014- 04- 02","2,445","2,435","2,475","2,375","331.89K","3.38%"
"2014- 04- 01","2,365","2,410","2,420","2,340","172.17K","-1.66%"
