"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014- 04- 01","3,180","3,230","3,290","3,110","294.90K","-1.09%"
"2014- 04- 02","3,170","3,180","3,200","3,150","81.40K","-0.31%"
"2014- 04- 03","3,240","3,170","3,290","3,100","225.62K","2.21%"
"2014- 04- 04","3,420","3,240","3,450","3,150","258.96K","5.56%"
"2014- 04- 07","3,930","3,460","3,930","3,415","1.43M","14.91%"
"2014- 04- 08","4,515","4,515","4,515","4,515","184.64K","14.89%"
"2014- 04- 09","5,190","5,190","5,190","5,190","115.29K","14.95%"
"2014- 04- 10","5,960","5,960","5,960","5,960","83.59K","14.84%"
"2014- 04- 11","6,850","6,850","6,850","6,850","1.19M","14.93%"
"2014- 04- 14","7,870","7,400","7,870","7,390","2.69M","14.89%"
"2014- 04- 16","9,050","9,050","9,050","9,050","22.65K","14.99%"
"2014- 04- 17","9,850","10,400","10,400","9,480","1.68M","8.84%"
"2014- 04- 18","10,100","9,520","10,100","9,520","1.29M","2.54%"
"2014- 04- 21","10,100","10,850","11,600","10,100","938.30K","0.00%"
"2014- 04- 22","11,600","9,970","11,600","9,670","1.28M","14.85%"
"2014- 04- 23","12,250","11,750","12,500","11,450","980.69K","5.60%"
"2014- 04- 24","10,450","11,650","12,350","10,450","3.15M","-14.69%"
"2014- 04- 25","10,100","11,000","11,200","9,680","5.87M","-3.35%"
"2014- 04- 28","11,150","10,050","11,600","9,920","4.16M","10.40%"
"2014- 04- 29","11,450","11,850","11,900","10,650","3.68M","2.69%"
"2014- 04- 30","11,450","10,750","12,000","10,550","3.04M","0.00%"
"2014- 05- 02","13,150","11,300","13,150","11,000","2.43M","14.85%"
"2014- 05- 07","14,500","13,800","15,100","13,700","4.11M","10.27%"
"2014- 05- 08","14,550","14,100","14,750","12,800","4.02M","0.34%"
"2014- 05- 12","14,000","14,200","14,900","14,000","556.75K","-3.78%"
"2014- 05- 13","14,650","13,500","14,650","13,350","732.98K","4.64%"
"2014- 05- 14","14,700","14,100","15,050","14,100","561.86K","0.34%"
"2014- 05- 15","14,550","14,000","14,550","13,350","1.57M","-1.02%"
"2014- 05- 16","14,000","14,850","14,950","13,900","1.14M","-3.78%"
"2014- 05- 19","11,900","14,000","14,050","11,900","3.28M","-15.00%"
"2014- 05- 20","11,950","11,550","12,600","10,350","6.00M","0.42%"
"2014- 05- 21","11,200","11,800","12,150","11,150","2.22M","-6.28%"
"2014- 05- 22","10,850","11,100","11,650","10,450","2.95M","-3.13%"
"2014- 05- 23","10,600","11,150","11,500","10,350","2.98M","-2.30%"
