,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용)
0,케이알모터스(주),000040,2013.0,1,-4.29
1,케이알모터스(주),000040,2014.0,1,-4.6
2,케이알모터스(주),000040,2015.0,1,-4.59
3,케이알모터스(주),000040,2016.0,1,-2.26
4,케이알모터스(주),000040,2017.0,1,-6.04
5,케이알모터스(주),000040,2018.0,1,-3.14
6,성창기업지주(주),000180,2013.0,1,-1.39
7,성창기업지주(주),000180,2014.0,0,-0.05
8,성창기업지주(주),000180,2017.0,1,-0.19
9,성창기업지주(주),000180,2018.0,1,-3.96
10,디엘(주),000210,2014.0,0,-3.33
11,일동홀딩스(주),000230,2017.0,1,0.61
12,일동홀딩스(주),000230,2018.0,1,-0.29
13,(주)대유플러스,000300,2012.0,0,-4.88
14,(주)대유플러스,000300,2015.0,0,0.38
15,삼환기업(주),000360,2012.0,1,-3.12
16,(주)대동,000490,2016.0,0,-1.84
17,삼일제약(주),000520,2011.0,1,-3.56
18,삼일제약(주),000520,2012.0,1,-0.84
19,삼일제약(주),000520,2013.0,1,-1.46
20,삼일제약(주),000520,2014.0,0,-6.24
21,삼일제약(주),000520,2018.0,0,-2.39
22,(주)천일고속,000650,2018.0,0,-29.21
23,(주)영풍,000670,2015.0,1,-0.66
24,(주)영풍,000670,2016.0,0,-0.56
25,(주)엘에스네트웍스,000680,2012.0,1,0.46
26,(주)엘에스네트웍스,000680,2013.0,1,-0.24
27,(주)엘에스네트웍스,000680,2014.0,1,0.14
28,(주)엘에스네트웍스,000680,2015.0,1,-3.68
29,(주)엘에스네트웍스,000680,2016.0,1,-3.28
30,(주)엘에스네트웍스,000680,2017.0,1,0.15
31,(주)엘에스네트웍스,000680,2018.0,1,0.21
32,(주)유수홀딩스,000700,2012.0,1,-19.16
33,(주)유수홀딩스,000700,2013.0,0,-0.5
34,이화산업(주),000760,2018.0,1,0.17
35,경남기업(주),000800,2012.0,1,0.28
36,보해양조(주),000890,2011.0,0,-3.98
37,보해양조(주),000890,2017.0,1,0.94
38,보해양조(주),000890,2018.0,1,-3.58
39,(주)유니온,000910,2018.0,0,-0.26
40,전방(주),000950,2012.0,1,-4.14
41,전방(주),000950,2013.0,1,0.74
42,전방(주),000950,2014.0,1,-1.1
43,전방(주),000950,2015.0,1,-1.11
44,전방(주),000950,2016.0,1,-1.28
45,전방(주),000950,2017.0,1,-1.74
46,전방(주),000950,2018.0,1,-0.97
47,(주)DB하이텍,000990,2011.0,1,-0.75
48,(주)DB하이텍,000990,2012.0,1,-0.31
49,(주)DB하이텍,000990,2013.0,1,-0.16
50,(주)DB하이텍,000990,2014.0,0,0.67
51,페이퍼코리아(주),001020,2011.0,0,-0.9
52,페이퍼코리아(주),001020,2014.0,1,-0.75
53,페이퍼코리아(주),001020,2015.0,1,-2.67
54,페이퍼코리아(주),001020,2016.0,1,-1.35
55,페이퍼코리아(주),001020,2017.0,1,-2.22
56,페이퍼코리아(주),001020,2018.0,1,0.08
57,제이더블유중외제약(주),001060,2012.0,0,0.39
58,대한방직(주),001070,2012.0,1,-1.36
59,대한방직(주),001070,2013.0,1,0.01
60,대한방직(주),001070,2014.0,1,-1.23
61,대한방직(주),001070,2015.0,1,0.7
62,대한방직(주),001070,2016.0,1,0.2
63,대한방직(주),001070,2017.0,1,-1.82
64,대한방직(주),001070,2018.0,1,-2.88
65,(주)국보,001140,2012.0,1,0.64
66,(주)국보,001140,2013.0,1,0.36
67,(주)국보,001140,2014.0,1,-1.31
68,(주)국보,001140,2015.0,1,-1.55
69,(주)국보,001140,2016.0,1,0.14
70,(주)국보,001140,2017.0,1,-2.66
71,(주)국보,001140,2018.0,1,-4.03
72,금호전기(주),001210,2013.0,1,-0.35
73,금호전기(주),001210,2014.0,1,0.35
74,금호전기(주),001210,2015.0,1,-0.97
75,금호전기(주),001210,2016.0,1,0.62
76,금호전기(주),001210,2017.0,1,-0.1
77,금호전기(주),001210,2018.0,1,-5.34
78,동국제강(주),001230,2013.0,1,0.4
79,동국제강(주),001230,2014.0,0,-0.11
80,남광토건(주),001260,2011.0,1,-3.21
81,남광토건(주),001260,2012.0,1,-5.24
82,남광토건(주),001260,2013.0,1,-1.08
83,남광토건(주),001260,2014.0,1,-1.12
84,남광토건(주),001260,2015.0,1,-4.46
85,남광토건(주),001260,2016.0,0,-29.21
86,백광산업(주),001340,2014.0,0,-3.33
87,삼성제약(주),001360,2012.0,1,0.16
88,삼성제약(주),001360,2013.0,1,-4.21
89,삼성제약(주),001360,2014.0,1,-13.34
90,삼성제약(주),001360,2015.0,1,-0.62
91,삼성제약(주),001360,2016.0,1,-2.74
92,삼성제약(주),001360,2017.0,1,-2.66
93,삼성제약(주),001360,2018.0,1,-3.53
94,(주)에스지글로벌,001380,2015.0,0,-2.56
95,대한전선(주),001440,2011.0,1,-0.15
96,대한전선(주),001440,2012.0,1,-0.43
97,대한전선(주),001440,2013.0,1,-1.69
98,대한전선(주),001440,2014.0,1,0.24
99,대한전선(주),001440,2015.0,0,0.5
100,삼부토건(주),001470,2011.0,1,-4.42
101,삼부토건(주),001470,2012.0,1,-0.45
102,삼부토건(주),001470,2013.0,1,-0.37
103,삼부토건(주),001470,2014.0,1,-1.05
104,삼부토건(주),001470,2015.0,1,-0.67
105,삼부토건(주),001470,2016.0,1,-9.25
106,삼부토건(주),001470,2017.0,1,-9.69
107,삼부토건(주),001470,2018.0,0,-4.87
108,(주)동양,001520,2011.0,1,-0.13
109,(주)동양,001520,2012.0,1,0.34
110,(주)동양,001520,2013.0,1,-0.12
111,(주)동양,001520,2014.0,0,0.48
112,(주)조비,001550,2011.0,1,-2.7
113,(주)조비,001550,2012.0,0,-0.69
114,케이비아이동국실업(주),001620,2018.0,1,-1.68
115,(주)신화다이나믹스,001770,2017.0,0,-3.14
116,(주)알루코,001780,2012.0,0,0.39
117,디엘건설(주),001880,2011.0,1,-0.92
118,디엘건설(주),001880,2012.0,0,0.66
119,한국유리공업(주),002000,2013.0,0,-14.32
120,(주)코오롱,002020,2013.0,1,0.73
121,(주)코오롱,002020,2014.0,1,0.8
122,(주)코오롱,002020,2015.0,0,0.63
123,(주)비비안,002070,2013.0,1,-3.13
124,(주)비비안,002070,2014.0,1,-8.39
125,(주)비비안,002070,2015.0,1,-8.87
126,(주)비비안,002070,2016.0,1,-3.86
127,(주)비비안,002070,2017.0,1,-2.59
128,(주)비비안,002070,2018.0,1,-7.86
129,동성제약(주),002210,2014.0,1,-1.17
130,동성제약(주),002210,2015.0,1,0.84
131,동성제약(주),002210,2016.0,1,-1.64
132,동성제약(주),002210,2017.0,1,0.65
133,동성제약(주),002210,2018.0,1,-1.07
134,한일철강(주),002220,2011.0,1,0.87
135,한일철강(주),002220,2012.0,1,0.84
136,한일철강(주),002220,2013.0,1,0.53
137,한일철강(주),002220,2014.0,1,-0.55
138,한일철강(주),002220,2015.0,0,-1.82
139,(주)한진,002320,2017.0,1,0.35
140,(주)한진,002320,2018.0,1,0.77
141,범양건영(주),002410,2011.0,1,-7.85
142,범양건영(주),002410,2012.0,1,-4.02
143,범양건영(주),002410,2013.0,1,-2.27
144,범양건영(주),002410,2014.0,1,-21.67
145,범양건영(주),002410,2015.0,1,0.32
146,범양건영(주),002410,2016.0,0,0.67
147,세기상사(주),002420,2011.0,1,-0.54
148,세기상사(주),002420,2012.0,1,-0.44
149,세기상사(주),002420,2013.0,1,-1.97
150,세기상사(주),002420,2014.0,1,-1.9
151,세기상사(주),002420,2015.0,1,-2.05
152,세기상사(주),002420,2016.0,1,-1.7
153,세기상사(주),002420,2017.0,1,-0.9
154,세기상사(주),002420,2018.0,1,-0.91
155,화성산업(주),002460,2011.0,0,-9.78
156,(주)한탑,002680,2014.0,1,-1.01
157,(주)한탑,002680,2015.0,1,0.62
158,(주)한탑,002680,2016.0,1,0.98
159,(주)한탑,002680,2017.0,1,0.03
160,(주)한탑,002680,2018.0,1,0.01
161,신일전자(주),002700,2015.0,0,-8.05
162,(주)TCC스틸,002710,2013.0,1,-0.59
163,(주)TCC스틸,002710,2014.0,0,0.02
164,국제약품(주),002720,2013.0,1,0.75
165,국제약품(주),002720,2014.0,0,-1.03
166,진흥기업(주),002780,2011.0,1,-4.86
167,진흥기업(주),002780,2012.0,1,-0.68
168,진흥기업(주),002780,2013.0,0,-0.15
169,(주)선앤엘,002820,2018.0,1,-1.08
170,신풍,002870,2012.0,1,-7.91
171,신풍,002870,2013.0,1,-5.44
172,신풍,002870,2014.0,1,-29.21
173,신풍,002870,2015.0,0,-29.21
174,(주)대유에이텍,002880,2018.0,0,0.49
