,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용),부가가치(백만원),금융비용(백만원),매출액총이익률,매출액순이익률,총자본사업이익률,총자본순이익률,자기자본순이익률,경영자본순이익률,자본금순이익률,매출원가대매출액비율,영업비용대영업수익비율,금융손익비율,금융비용부담률,기업순이익률,인건비대총비용비율,금융비용대총비용비율,이자부담률,지급이자율,차입금평균이자율,유보율,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,현금비율,매출채권비율,매입채무대재고자산비율,순운전자본비율,차입금의존도,차입금비율,총자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,당좌자산회전률,재고자산회전률,매출채권회전률,비유동자산회전률,유형자산회전율,순운전자본회전률,사내유보대자기자본비율,자기자본배당률,배당성향,이익잉여금(결손금)(요약)(백만원),비유동금융부채(요약)(백만원),비유동자산증가율,유동금융부채(요약)(백만원),외국인_주식분포비율,장기금융부채(백만원),자산대비자본비율,차입,총자본증가율,유형자산증가율,비유동자산(백만원),자기자본증가율,매출액증가율,직원증감률,자산대비_장기금융부채비율,투자축소_여부,직원증감률_여부,종업원수증가율,투자활동현금흐름증감률,매출원가축소_여부,자산매각_여부,자본증가율_여부,차입_여부,사내유보금보유_여부,운용적범주전략(OPS)변수,LEV지수,순자산가치(백만원),KZ지수,산업매출성장률,WW지수,NCAV지수,기업생명주기,순매수거래량_기관,순매수거래대금 비중_기관,순매수거래량_외국인,순매수거래대금 비중_외국인
0,케이알모터스(주),000040,2013.0,1,-4.29,9379.15,603.89,7.59,-6.64,-2.77,-5.6,-10.28,-5.6,-10.41,92.41,103.5,-1.25,0.61,-5.09,10.64,0.56,1.02,7.67,7.75,-3.94,51.05,27.66,104.3,49.02,50.98,96.05,129.91,17.23,207.12,146.77,11.75,9.07,18.49,0.84,1.69,1.67,1.69,4.03,2.49,4.82,3.34,1.73,1.77,0.94,2.27,0.0,0.0,1299.0,0.0,-9.891839979847914,0.0,0.11,416.0,49.01566722539596,0.3557623234016351,-2.0070897617471317,1.0249059308367676,57234.0,-5.727256279092718,1.6604205173241293,-4.819277108433735,0.003557623234016351,0,0,-4.819277108433735,537.9506641366224,0.0,0,0,0,0,0,0.0,57315.0,-85918759113.6992,8.405309314463894,-657604419.260705,0.0015496008877969732,1,154.0,1.0419408070073503e-05,666080.0,0.0012831106360918
1,성창기업지주(주),000180,2013.0,1,-1.39,28423.83,1111.8,14.62,-2.82,-0.52,-1.31,-1.67,-1.35,-14.19,85.38,101.41,-0.87,0.74,-0.96,16.93,0.72,1.57,3.49,3.64,744.74,24.94,43.2,33.23,78.21,21.79,844.74,141.85,20.2,81.77,55.23,7.36,13.52,17.29,0.46,0.59,5.03,2.13,8.6,2.57,4.65,5.32,0.64,0.67,1.04,11.86,0.0,0.0,188378.0,0.0,122.6113541914578,0.0,3.1,13133.0,78.21480267523432,4.053282470548657,-1.353309748092579,4.182329112076202,243194.0,-1.5328245935780673,-6.497525520012899,-8.974358974358974,0.040532824705486574,1,0,-8.974358974358974,-178.40145690004047,1.0,0,0,0,0,1,0.07876220383855063,253423.0,-46196919234.92603,8.684002751584954,2632380582.12093,0.10637875909141122,0,28438.0,0.0013366322379963,-43268.0,0.0001474502753835
2,디엘(주),000210,2014.0,0,-3.33,494645.17,31419.37,2.11,-4.74,-2.06,-4.12,-10.15,-5.19,-207.78,97.89,102.91,-0.12,0.34,-3.83,7.29,0.31,0.52,4.26,4.33,1835.07,60.61,14.54,153.9,42.14,57.86,1935.07,149.36,31.91,100.66,159.59,20.03,17.98,42.66,0.87,1.99,42.54,1.54,5.99,1.63,9.44,10.34,2.32,6.77,0.84,18.54,0.09,0.0,840971.0,49299.0,15.454765976915494,35986.0,28.6,1406044.0,42.13809010128512,21.351923199869766,24.005811336814613,-4.3178242718405055,4512060.0,-15.296971077334353,-12.23603994633,-5.0895050895050895,0.21351923199869766,1,0,-5.0895050895050895,-19.604176725231383,0.0,0,0,1,0,1,0.11915001661444617,2648892.0,82059125843.79022,-2.1391254801754145,1844953595.6375983,-1.3365624103299856,1,-2124518.0,-0.0101600629137309,-122922.0,0.0006047335528067
3,일동홀딩스(주),000230,2017.0,1,0.61,20134.11,1550.73,44.23,0.06,0.78,0.01,0.47,0.02,7.36,55.77,104.45,-3.78,3.78,0.66,34.46,3.44,1.57,3.21,3.27,1558.09,21.22,9.22,26.93,63.54,36.46,1651.34,71.46,42.23,150.36,61.21,-8.47,24.03,37.81,0.17,0.29,4.64,0.42,14.07,0.64,7.97,4.8,0.24,0.83,0.31,1.33,1.19,45.38,41649.0,0.0,39.638223843338125,8.0,2.76,60.0,63.47024803634852,0.021879125126716602,34.37046764140958,0.42861186365290527,215917.0,62.91675246635092,0.7358171249172205,1.3888888888888888,0.000218791251267166,1,0,1.3888888888888888,-55.0620078276041,0.0,0,1,0,0,1,0.0002315663673508243,174057.0,-461353957472.5653,7.191380572470883,604593422.9665756,-0.26338973691784895,0,-854.0,1.3400834771893502e-05,-148806.0,-0.001701705659403
4,(주)대유플러스,000300,2012.0,0,-4.88,28096.06,3110.15,0.91,-4.78,-2.9,-2.99,-15.27,-6.27,-39.58,99.09,104.8,-0.79,0.82,-2.47,5.99,0.77,0.61,5.0,4.8,131.77,29.05,13.55,100.15,16.61,83.39,231.77,120.45,10.37,262.62,260.85,4.93,12.24,73.69,0.62,3.95,10.38,0.74,5.4,2.75,16.72,5.6,2.0,3.51,1.2,-4.24,0.0,0.0,-7892.0,0.0,-14.196936420003963,0.0,1.06,17494.0,16.606742863706852,2.87076314645093,0.6648936170212766,4.352137817697561,428570.0,11.4735137635901,13.285101326031848,15.424164524421593,0.0287076314645093,0,0,15.424164524421593,32.479558664171016,0.0,0,1,0,0,0,0.015758084117011312,101198.0,-25803693217.334385,5.164150771386816,706806042.5628898,-2.5214323851544145,0,-1414659.0,-0.0020008908013668,-1238620.0,-0.0020651680852127
5,삼환기업(주),000360,2012.0,1,-3.12,-63421.72,45756.43,-12.65,-46.02,-8.25,-16.48,-80.4,-25.02,-484.7,112.65,123.35,4.22,7.2,-13.9,6.16,4.14,3.21,16.25,8.34,324.34,50.34,31.88,114.45,14.4,85.6,413.23,92.3,7.9,19.65,13.12,-4.2,20.98,145.65,0.36,1.81,10.94,0.45,5.45,1.09,2.49,6.1,0.75,1.83,0.33,-443.93,0.0,0.0,86482.0,49299.0,-58.01327938401042,35986.0,7.32,26632.0,15.259499403518086,1.8655908743521183,-33.6928612170656,-42.30063568883678,718803.0,-56.562184064591904,-37.54623204476401,-13.318777292576419,0.018655908743521184,0,0,-13.318777292576419,93.22946175637394,0.0,1,0,0,0,0,0.0011925280335804637,217835.0,82059125843.79022,5.213873330720277,-3141121387.4014473,-6.674096949766128,3,-432756.0,-0.002887753515673,-172121.0,-0.0032329152046234
6,(주)대동,000490,2016.0,0,-1.84,88111.66,6200.99,20.71,-3.07,-1.79,-2.65,-8.19,-2.87,-75.52,79.29,102.22,-1.59,1.06,-1.74,12.65,1.01,1.37,2.71,2.82,809.6,55.75,57.54,125.98,32.25,67.75,884.89,107.95,2.07,64.15,37.51,4.1,39.04,121.06,0.86,2.61,24.67,1.29,6.47,3.85,2.6,4.58,1.95,2.42,0.82,71.87,0.45,0.0,180121.0,0.0,-33.03189691736469,5.0,1.65,57769.0,32.245629601208606,8.658215630320615,-3.061086613830027,-4.217934000549726,295255.0,-7.710521913324725,0.332663208066183,-4.9338146811071,0.08658215630320616,1,0,-4.9338146811071,-39.902048554426244,0.0,1,0,1,0,1,0.031565417865257524,215149.0,-69662309029.83522,0.06138113708600749,518809705.7385618,-0.47216525661380965,1,-2546.0,-1.651700127103993e-05,75176.0,0.0005365073037817
7,삼일제약(주),000520,2012.0,1,-0.84,22259.93,1457.24,41.3,-3.17,-1.0,-2.5,-4.48,-2.79,-52.72,58.7,101.72,-1.74,1.59,-1.24,20.41,1.47,2.84,6.23,5.73,1077.3,55.4,28.51,124.23,56.65,43.35,1143.16,166.66,36.3,140.52,39.35,22.16,27.03,47.71,0.79,1.41,16.63,1.78,13.12,2.39,4.43,3.58,1.6,2.49,0.89,1.6,1.22,0.0,59257.0,0.0,-41.05571498315095,0.0,2.98,7014.0,56.645284514757286,6.319146635914807,-8.421408711005503,-2.939122024609102,49502.0,-5.60026424839349,-3.209280663872306,2.459016393442623,0.06319146635914807,0,0,2.459016393442623,17.34483405212826,0.0,1,0,1,0,0,0.0962404361066619,62874.0,-436795952308.27246,5.164150771386816,-2842215305.7293763,0.5433011681056373,3,0.0,0.0,-3240.0,-6.918611861186119e-05
8,(주)천일고속,000650,2018.0,0,-29.21,28425.61,-1451.12,10.3,-0.37,-1.91,-0.28,-0.38,-0.52,-2.9,89.7,105.68,0.13,-3.12,-2.62,46.79,-2.94,-8.84,0.13,0.26,767.01,15.93,2.6,18.95,76.96,23.04,865.98,129.48,12.87,3024.89,412.36,3.63,1.96,2.55,0.75,1.02,7.77,2.83,39.42,2.69,182.22,5.7,1.05,3.42,1.65,28.6,9.22,0.0,32681.0,0.0,29.73917048922327,0.0,0.11,0.0,76.96153415662425,0.0,18.52392323339524,6.436241184319207,67598.0,31.27983198625342,2.2101147594395973,3.2098765432098766,0.0,1,0,3.2098765432098766,-46.710063335679095,0.0,0,1,0,0,1,0.0,61884.0,-550102815225.345,11.963994964899019,3823074526.4383836,-0.05035245484696044,4,861.0,9.64319932864192e-05,-316.0,-2.3376820034072423e-05
9,(주)영풍,000670,2015.0,1,-0.66,494645.17,2043.14,4.27,3.44,0.02,2.28,5.13,4.68,66.28,95.73,100.21,-0.48,0.08,2.33,5.58,0.08,0.21,3.18,2.99,3381.64,24.79,34.66,32.97,75.31,24.69,3311.89,201.83,34.27,79.38,62.18,12.51,6.55,8.7,0.66,0.88,71.03,2.66,12.76,4.26,8.31,9.49,0.87,2.39,1.85,3.53,1.02,28.9,840971.0,42426.0,9.896087544722883,97.0,2.05,61217.0,75.31410109812512,1.5350732016546103,2.3754177088261743,-12.358519765863662,2999095.0,-15.296971077334353,-6.47552324020041,6.291390728476822,0.015350732016546102,1,0,6.291390728476822,-22.463607034070908,0.0,0,0,0,0,1,0.01559943118520222,2648892.0,-233586011604.51617,-0.947472877343674,-1985592531.3178582,0.003118364418938307,2,-3799.0,-0.0002177183035247,11070.0,0.0009842659410977
